,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.491,-0.154,-0.547,-0.377,-0.153,-0.238,-0.403,0.665,0.524
AAPL,-0.491,0.0,0.724,0.824,0.836,0.039,0.813,0.791,-0.01,-0.145
AMD,-0.154,0.724,0.0,0.423,0.843,0.129,0.857,0.79,0.341,-0.249
AMZN,-0.547,0.824,0.423,0.0,0.715,0.267,0.541,0.669,-0.28,0.072
GOOGL,-0.377,0.836,0.843,0.715,0.0,0.361,0.775,0.841,-0.027,-0.136
INTC,-0.153,0.039,0.129,0.267,0.361,0.0,-0.068,0.388,-0.403,0.198
MARA,-0.238,0.813,0.857,0.541,0.775,-0.068,0.0,0.732,0.329,-0.271
NVDA,-0.403,0.791,0.79,0.669,0.841,0.388,0.732,0.0,-0.019,-0.207
PLUG,0.665,-0.01,0.341,-0.28,-0.027,-0.403,0.329,-0.019,0.0,0.213
TSLA,0.524,-0.145,-0.249,0.072,-0.136,0.198,-0.271,-0.207,0.213,0.0
