,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.932,-0.603,-0.956,-0.83,0.441,-0.742,-0.805,0.016,-0.465
AAPL,-0.932,0.0,0.69,0.945,0.839,-0.521,0.681,0.857,0.164,0.568
AMD,-0.603,0.69,0.0,0.702,0.565,-0.664,0.34,0.837,0.261,0.511
AMZN,-0.956,0.945,0.702,0.0,0.811,-0.513,0.746,0.833,0.014,0.501
GOOGL,-0.83,0.839,0.565,0.811,0.0,-0.187,0.65,0.809,0.272,0.423
INTC,0.441,-0.521,-0.664,-0.513,-0.187,0.0,-0.006,-0.535,-0.268,-0.47
MARA,-0.742,0.681,0.34,0.746,0.65,-0.006,0.0,0.539,-0.339,0.286
NVDA,-0.805,0.857,0.837,0.833,0.809,-0.535,0.539,0.0,0.259,0.332
PLUG,0.016,0.164,0.261,0.014,0.272,-0.268,-0.339,0.259,0.0,0.368
TSLA,-0.465,0.568,0.511,0.501,0.423,-0.47,0.286,0.332,0.368,0.0
