,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.857,0.719,0.376,-0.54,-0.136,0.913,-0.528,0.564,0.315
AAPL,0.857,0.0,0.775,0.548,-0.223,0.072,0.756,-0.158,0.34,0.383
AMD,0.719,0.775,0.0,0.561,-0.128,0.444,0.573,-0.041,0.182,0.253
AMZN,0.376,0.548,0.561,0.0,-0.001,0.398,0.482,-0.177,-0.061,0.314
GOOGL,-0.54,-0.223,-0.128,-0.001,0.0,0.209,-0.644,0.665,-0.744,-0.016
INTC,-0.136,0.072,0.444,0.398,0.209,0.0,-0.15,0.436,-0.144,0.17
MARA,0.913,0.756,0.573,0.482,-0.644,-0.15,0.0,-0.692,0.6,0.452
NVDA,-0.528,-0.158,-0.041,-0.177,0.665,0.436,-0.692,0.0,-0.441,-0.174
PLUG,0.564,0.34,0.182,-0.061,-0.744,-0.144,0.6,-0.441,0.0,0.249
TSLA,0.315,0.383,0.253,0.314,-0.016,0.17,0.452,-0.174,0.249,0.0
