,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.046,-0.426,0.196,0.438,0.094,0.412,0.195,0.155,-0.364
AAPL,0.046,0.0,0.399,0.646,0.364,-0.409,-0.163,0.222,0.468,0.423
AMD,-0.426,0.399,0.0,0.062,0.072,0.094,0.169,0.493,0.257,0.283
AMZN,0.196,0.646,0.062,0.0,0.73,0.018,0.038,0.391,0.273,0.363
GOOGL,0.438,0.364,0.072,0.73,0.0,0.385,0.593,0.762,0.357,0.061
INTC,0.094,-0.409,0.094,0.018,0.385,0.0,0.538,0.573,-0.172,-0.217
MARA,0.412,-0.163,0.169,0.038,0.593,0.538,0.0,0.808,0.132,-0.311
NVDA,0.195,0.222,0.493,0.391,0.762,0.573,0.808,0.0,0.176,-0.13
PLUG,0.155,0.468,0.257,0.273,0.357,-0.172,0.132,0.176,0.0,0.386
TSLA,-0.364,0.423,0.283,0.363,0.061,-0.217,-0.311,-0.13,0.386,0.0
