,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.649,0.127,0.463,0.323,-0.145,0.347,0.501,0.789,-0.058
AAPL,0.649,0.0,0.174,0.84,0.758,-0.719,0.462,0.896,0.58,0.573
AMD,0.127,0.174,0.0,0.14,0.314,-0.044,0.376,0.445,0.087,0.285
AMZN,0.463,0.84,0.14,0.0,0.746,-0.732,0.419,0.851,0.364,0.496
GOOGL,0.323,0.758,0.314,0.746,0.0,-0.858,0.504,0.841,0.334,0.722
INTC,-0.145,-0.719,-0.044,-0.732,-0.858,0.0,-0.296,-0.746,-0.134,-0.781
MARA,0.347,0.462,0.376,0.419,0.504,-0.296,0.0,0.458,0.073,0.284
NVDA,0.501,0.896,0.445,0.851,0.841,-0.746,0.458,0.0,0.465,0.669
PLUG,0.789,0.58,0.087,0.364,0.334,-0.134,0.073,0.465,0.0,0.063
TSLA,-0.058,0.573,0.285,0.496,0.722,-0.781,0.284,0.669,0.063,0.0
