,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.527,0.896,0.938,0.692,0.93,0.963,0.687,0.958,-0.013
AAPL,0.527,0.0,0.734,0.688,0.713,0.4,0.631,0.904,0.679,0.71
AMD,0.896,0.734,0.0,0.959,0.85,0.83,0.922,0.839,0.945,0.262
AMZN,0.938,0.688,0.959,0.0,0.869,0.865,0.952,0.802,0.978,0.191
GOOGL,0.692,0.713,0.85,0.869,0.0,0.611,0.753,0.761,0.797,0.337
INTC,0.93,0.4,0.83,0.865,0.611,0.0,0.858,0.602,0.902,-0.05
MARA,0.963,0.631,0.922,0.952,0.753,0.858,0.0,0.787,0.956,0.141
NVDA,0.687,0.904,0.839,0.802,0.761,0.602,0.787,0.0,0.816,0.676
PLUG,0.958,0.679,0.945,0.978,0.797,0.902,0.956,0.816,0.0,0.215
TSLA,-0.013,0.71,0.262,0.191,0.337,-0.05,0.141,0.676,0.215,0.0
