,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.381,-0.147,0.431,0.337,-0.144,0.433,0.175,0.327,-0.225
AAPL,0.381,0.0,0.116,0.048,0.327,-0.016,0.022,0.023,-0.359,0.15
AMD,-0.147,0.116,0.0,-0.769,0.756,-0.471,0.571,0.374,-0.182,0.857
AMZN,0.431,0.048,-0.769,0.0,-0.52,0.462,-0.089,0.131,0.486,-0.667
GOOGL,0.337,0.327,0.756,-0.52,0.0,-0.734,0.604,0.124,-0.307,0.507
INTC,-0.144,-0.016,-0.471,0.462,-0.734,0.0,-0.342,0.306,0.42,-0.118
MARA,0.433,0.022,0.571,-0.089,0.604,-0.342,0.0,0.604,0.416,0.445
NVDA,0.175,0.023,0.374,0.131,0.124,0.306,0.604,0.0,0.616,0.478
PLUG,0.327,-0.359,-0.182,0.486,-0.307,0.42,0.416,0.616,0.0,-0.094
TSLA,-0.225,0.15,0.857,-0.667,0.507,-0.118,0.445,0.478,-0.094,0.0
