,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.857,0.859,0.803,0.882,0.756,0.548,0.843,-0.571,0.878
AAPL,0.857,0.0,0.95,0.886,0.963,0.862,0.619,0.925,-0.859,0.819
AMD,0.859,0.95,0.0,0.945,0.944,0.842,0.69,0.887,-0.817,0.831
AMZN,0.803,0.886,0.945,0.0,0.896,0.795,0.697,0.789,-0.741,0.812
GOOGL,0.882,0.963,0.944,0.896,0.0,0.892,0.681,0.858,-0.788,0.87
INTC,0.756,0.862,0.842,0.795,0.892,0.0,0.817,0.681,-0.724,0.826
MARA,0.548,0.619,0.69,0.697,0.681,0.817,0.0,0.386,-0.539,0.717
NVDA,0.843,0.925,0.887,0.789,0.858,0.681,0.386,0.0,-0.768,0.724
PLUG,-0.571,-0.859,-0.817,-0.741,-0.788,-0.724,-0.539,-0.768,0.0,-0.601
TSLA,0.878,0.819,0.831,0.812,0.87,0.826,0.717,0.724,-0.601,0.0
