,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.618,-0.332,-0.692,-0.584,-0.149,-0.418,-0.612,0.648,0.717
AAPL,-0.618,0.0,0.81,0.896,0.838,0.081,0.849,0.843,-0.103,-0.393
AMD,-0.332,0.81,0.0,0.709,0.771,0.153,0.904,0.795,0.284,-0.209
AMZN,-0.692,0.896,0.709,0.0,0.923,0.307,0.726,0.899,-0.269,-0.444
GOOGL,-0.584,0.838,0.771,0.923,0.0,0.332,0.794,0.92,-0.1,-0.475
INTC,-0.149,0.081,0.153,0.307,0.332,0.0,0.003,0.345,-0.327,0.141
MARA,-0.418,0.849,0.904,0.726,0.794,0.003,0.0,0.798,0.214,-0.434
NVDA,-0.612,0.843,0.795,0.899,0.92,0.345,0.798,0.0,-0.105,-0.499
PLUG,0.648,-0.103,0.284,-0.269,-0.1,-0.327,0.214,-0.105,0.0,0.311
TSLA,0.717,-0.393,-0.209,-0.444,-0.475,0.141,-0.434,-0.499,0.311,0.0
