,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.466,0.702,0.601,0.612,-0.471,0.234,0.67,0.518,-0.801
AAPL,0.466,0.0,0.549,-0.02,0.766,0.423,-0.327,0.118,-0.188,-0.078
AMD,0.702,0.549,0.0,0.433,0.581,-0.196,-0.189,0.566,0.276,-0.689
AMZN,0.601,-0.02,0.433,0.0,0.038,-0.698,0.442,0.941,0.725,-0.705
GOOGL,0.612,0.766,0.581,0.038,0.0,0.144,-0.031,0.146,-0.155,-0.236
INTC,-0.471,0.423,-0.196,-0.698,0.144,0.0,-0.465,-0.666,-0.706,0.715
MARA,0.234,-0.327,-0.189,0.442,-0.031,-0.465,0.0,0.347,0.395,-0.137
NVDA,0.67,0.118,0.566,0.941,0.146,-0.666,0.347,0.0,0.711,-0.775
PLUG,0.518,-0.188,0.276,0.725,-0.155,-0.706,0.395,0.711,0.0,-0.707
TSLA,-0.801,-0.078,-0.689,-0.705,-0.236,0.715,-0.137,-0.775,-0.707,0.0
