,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.374,0.257,0.352,0.597,0.252,0.454,0.131,0.088,0.102
AAPL,0.374,0.0,0.973,0.963,0.913,0.661,0.871,0.855,0.363,0.4
AMD,0.257,0.973,0.0,0.945,0.859,0.676,0.854,0.844,0.412,0.394
AMZN,0.352,0.963,0.945,0.0,0.922,0.632,0.78,0.797,0.222,0.216
GOOGL,0.597,0.913,0.859,0.922,0.0,0.592,0.763,0.713,0.179,0.247
INTC,0.252,0.661,0.676,0.632,0.592,0.0,0.706,0.787,0.581,0.556
MARA,0.454,0.871,0.854,0.78,0.763,0.706,0.0,0.794,0.563,0.654
NVDA,0.131,0.855,0.844,0.797,0.713,0.787,0.794,0.0,0.532,0.567
PLUG,0.088,0.363,0.412,0.222,0.179,0.581,0.563,0.532,0.0,0.749
TSLA,0.102,0.4,0.394,0.216,0.247,0.556,0.654,0.567,0.749,0.0
