,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.742,-0.773,-0.375,-0.538,-0.713,-0.261,-0.15,-0.617,-0.683
AAPL,-0.742,0.0,0.869,0.511,0.68,0.91,0.466,0.301,0.763,0.936
AMD,-0.773,0.869,0.0,0.528,0.733,0.853,0.106,0.423,0.626,0.83
AMZN,-0.375,0.511,0.528,0.0,0.874,0.348,0.006,0.002,-0.047,0.697
GOOGL,-0.538,0.68,0.733,0.874,0.0,0.579,-0.013,0.121,0.183,0.804
INTC,-0.713,0.91,0.853,0.348,0.579,0.0,0.406,0.258,0.791,0.851
MARA,-0.261,0.466,0.106,0.006,-0.013,0.406,0.0,-0.279,0.586,0.383
NVDA,-0.15,0.301,0.423,0.002,0.121,0.258,-0.279,0.0,0.215,0.195
PLUG,-0.617,0.763,0.626,-0.047,0.183,0.791,0.586,0.215,0.0,0.552
TSLA,-0.683,0.936,0.83,0.697,0.804,0.851,0.383,0.195,0.552,0.0
