,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.624,0.836,0.836,0.931,0.046,0.854,0.505,0.696,0.414
AAPL,0.624,0.0,0.464,0.723,0.749,-0.331,0.704,0.188,0.909,0.459
AMD,0.836,0.464,0.0,0.834,0.794,0.016,0.59,0.698,0.471,0.53
AMZN,0.836,0.723,0.834,0.0,0.859,-0.334,0.68,0.481,0.66,0.586
GOOGL,0.931,0.749,0.794,0.859,0.0,0.07,0.874,0.568,0.74,0.498
INTC,0.046,-0.331,0.016,-0.334,0.07,0.0,0.014,0.445,-0.321,-0.118
MARA,0.854,0.704,0.59,0.68,0.874,0.014,0.0,0.323,0.836,0.271
NVDA,0.505,0.188,0.698,0.481,0.568,0.445,0.323,0.0,0.1,0.625
PLUG,0.696,0.909,0.471,0.66,0.74,-0.321,0.836,0.1,0.0,0.327
TSLA,0.414,0.459,0.53,0.586,0.498,-0.118,0.271,0.625,0.327,0.0
