,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.231,0.764,0.201,0.749,0.65,0.066,0.835,0.901,0.007
AAPL,-0.231,0.0,0.02,0.739,0.312,0.442,0.488,-0.071,-0.232,0.532
AMD,0.764,0.02,0.0,0.222,0.843,0.808,0.436,0.921,0.746,0.428
AMZN,0.201,0.739,0.222,0.0,0.513,0.576,0.411,0.124,0.18,0.414
GOOGL,0.749,0.312,0.843,0.513,0.0,0.955,0.445,0.86,0.719,0.496
INTC,0.65,0.442,0.808,0.576,0.955,0.0,0.549,0.769,0.601,0.603
MARA,0.066,0.488,0.436,0.411,0.445,0.549,0.0,0.248,-0.09,0.901
NVDA,0.835,-0.071,0.921,0.124,0.86,0.769,0.248,0.0,0.805,0.245
PLUG,0.901,-0.232,0.746,0.18,0.719,0.601,-0.09,0.805,0.0,-0.07
TSLA,0.007,0.532,0.428,0.414,0.496,0.603,0.901,0.245,-0.07,0.0
