,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.6,0.168,-0.581,0.387,0.574,-0.718,0.16,-0.589,-0.335
AAPL,-0.6,0.0,-0.158,0.813,-0.484,-0.574,0.918,-0.438,0.861,0.737
AMD,0.168,-0.158,0.0,0.032,-0.014,0.35,-0.116,0.631,-0.229,-0.013
AMZN,-0.581,0.813,0.032,0.0,-0.206,-0.239,0.709,-0.138,0.524,0.647
GOOGL,0.387,-0.484,-0.014,-0.206,0.0,0.664,-0.645,0.518,-0.744,-0.516
INTC,0.574,-0.574,0.35,-0.239,0.664,0.0,-0.752,0.446,-0.801,-0.437
MARA,-0.718,0.918,-0.116,0.709,-0.645,-0.752,0.0,-0.38,0.916,0.656
NVDA,0.16,-0.438,0.631,-0.138,0.518,0.446,-0.38,0.0,-0.54,-0.33
PLUG,-0.589,0.861,-0.229,0.524,-0.744,-0.801,0.916,-0.54,0.0,0.717
TSLA,-0.335,0.737,-0.013,0.647,-0.516,-0.437,0.656,-0.33,0.717,0.0
