,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.224,-0.071,-0.475,-0.325,0.798,-0.57,-0.151,-0.652,0.707
AAPL,0.224,0.0,0.835,0.566,0.726,0.08,0.507,0.847,0.431,0.741
AMD,-0.071,0.835,0.0,0.807,0.901,-0.311,0.741,0.959,0.649,0.444
AMZN,-0.475,0.566,0.807,0.0,0.904,-0.639,0.895,0.836,0.897,-0.03
GOOGL,-0.325,0.726,0.901,0.904,0.0,-0.51,0.889,0.92,0.815,0.198
INTC,0.798,0.08,-0.311,-0.639,-0.51,0.0,-0.666,-0.362,-0.765,0.606
MARA,-0.57,0.507,0.741,0.895,0.889,-0.666,0.0,0.793,0.92,-0.078
NVDA,-0.151,0.847,0.959,0.836,0.92,-0.362,0.793,0.0,0.74,0.384
PLUG,-0.652,0.431,0.649,0.897,0.815,-0.765,0.92,0.74,0.0,-0.184
TSLA,0.707,0.741,0.444,-0.03,0.198,0.606,-0.078,0.384,-0.184,0.0
