,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.112,0.045,-0.277,-0.078,-0.197,0.389,-0.087,0.089,0.094
AAPL,0.112,0.0,0.751,0.653,0.935,0.75,0.036,0.676,0.56,0.721
AMD,0.045,0.751,0.0,0.847,0.841,0.912,0.196,0.946,0.909,0.909
AMZN,-0.277,0.653,0.847,0.0,0.795,0.826,0.077,0.799,0.816,0.771
GOOGL,-0.078,0.935,0.841,0.795,0.0,0.86,0.045,0.786,0.687,0.807
INTC,-0.197,0.75,0.912,0.826,0.86,0.0,0.083,0.917,0.791,0.822
MARA,0.389,0.036,0.196,0.077,0.045,0.083,0.0,0.13,0.311,0.136
NVDA,-0.087,0.676,0.946,0.799,0.786,0.917,0.13,0.0,0.85,0.865
PLUG,0.089,0.56,0.909,0.816,0.687,0.791,0.311,0.85,0.0,0.868
TSLA,0.094,0.721,0.909,0.771,0.807,0.822,0.136,0.865,0.868,0.0
