,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.601,-0.483,-0.769,-0.609,0.059,0.36,-0.724,-0.491,-0.698
AAPL,-0.601,0.0,0.831,0.883,0.931,0.419,-0.191,0.944,0.589,0.952
AMD,-0.483,0.831,0.0,0.796,0.884,0.621,0.113,0.867,0.37,0.758
AMZN,-0.769,0.883,0.796,0.0,0.924,0.285,-0.203,0.959,0.707,0.924
GOOGL,-0.609,0.931,0.884,0.924,0.0,0.513,-0.034,0.931,0.61,0.911
INTC,0.059,0.419,0.621,0.285,0.513,0.0,0.211,0.336,0.118,0.349
MARA,0.36,-0.191,0.113,-0.203,-0.034,0.211,0.0,-0.156,-0.478,-0.348
NVDA,-0.724,0.944,0.867,0.959,0.931,0.336,-0.156,0.0,0.63,0.93
PLUG,-0.491,0.589,0.37,0.707,0.61,0.118,-0.478,0.63,0.0,0.71
TSLA,-0.698,0.952,0.758,0.924,0.911,0.349,-0.348,0.93,0.71,0.0
