,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.858,0.848,0.858,0.893,-0.639,0.909,0.569,0.917,0.664
AAPL,0.858,0.0,0.82,0.9,0.938,-0.708,0.85,0.649,0.957,0.777
AMD,0.848,0.82,0.0,0.934,0.899,-0.786,0.737,0.793,0.847,0.844
AMZN,0.858,0.9,0.934,0.0,0.935,-0.888,0.784,0.713,0.89,0.861
GOOGL,0.893,0.938,0.899,0.935,0.0,-0.728,0.884,0.733,0.943,0.831
INTC,-0.639,-0.708,-0.786,-0.888,-0.728,0.0,-0.539,-0.473,-0.699,-0.698
MARA,0.909,0.85,0.737,0.784,0.884,-0.539,0.0,0.529,0.927,0.588
NVDA,0.569,0.649,0.793,0.713,0.733,-0.473,0.529,0.0,0.613,0.864
PLUG,0.917,0.957,0.847,0.89,0.943,-0.699,0.927,0.613,0.0,0.724
TSLA,0.664,0.777,0.844,0.861,0.831,-0.698,0.588,0.864,0.724,0.0
