,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.265,-0.264,-0.125,-0.025,-0.224,-0.379,-0.224,0.191,-0.495
AAPL,-0.265,0.0,0.918,0.889,0.761,0.91,0.841,0.961,0.664,0.894
AMD,-0.264,0.918,0.0,0.88,0.72,0.832,0.813,0.959,0.714,0.851
AMZN,-0.125,0.889,0.88,0.0,0.839,0.78,0.844,0.899,0.754,0.766
GOOGL,-0.025,0.761,0.72,0.839,0.0,0.73,0.79,0.78,0.486,0.639
INTC,-0.224,0.91,0.832,0.78,0.73,0.0,0.808,0.913,0.543,0.896
MARA,-0.379,0.841,0.813,0.844,0.79,0.808,0.0,0.845,0.437,0.921
NVDA,-0.224,0.961,0.959,0.899,0.78,0.913,0.845,0.0,0.684,0.883
PLUG,0.191,0.664,0.714,0.754,0.486,0.543,0.437,0.684,0.0,0.441
TSLA,-0.495,0.894,0.851,0.766,0.639,0.896,0.921,0.883,0.441,0.0
