,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.058,-0.056,0.04,0.018,0.806,0.846,-0.086,-0.355,0.193
AAPL,0.058,0.0,0.876,0.731,0.37,0.236,0.131,0.794,0.581,0.713
AMD,-0.056,0.876,0.0,0.782,0.186,0.101,0.01,0.934,0.744,0.812
AMZN,0.04,0.731,0.782,0.0,0.204,0.391,0.177,0.866,0.547,0.841
GOOGL,0.018,0.37,0.186,0.204,0.0,0.23,0.097,0.046,0.217,0.126
INTC,0.806,0.236,0.101,0.391,0.23,0.0,0.813,0.128,-0.19,0.419
MARA,0.846,0.131,0.01,0.177,0.097,0.813,0.0,-0.044,-0.103,0.383
NVDA,-0.086,0.794,0.934,0.866,0.046,0.128,-0.044,0.0,0.609,0.798
PLUG,-0.355,0.581,0.744,0.547,0.217,-0.19,-0.103,0.609,0.0,0.655
TSLA,0.193,0.713,0.812,0.841,0.126,0.419,0.383,0.798,0.655,0.0
