,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.186,0.681,-0.075,-0.303,0.746,-0.231,0.567,0.505,0.28
AAPL,0.186,0.0,0.321,0.882,0.407,0.578,0.125,0.756,0.559,0.843
AMD,0.681,0.321,0.0,0.229,-0.462,0.622,-0.59,0.787,0.676,0.439
AMZN,-0.075,0.882,0.229,0.0,0.378,0.323,0.077,0.614,0.522,0.738
GOOGL,-0.303,0.407,-0.462,0.378,0.0,-0.149,0.872,-0.037,-0.203,0.189
INTC,0.746,0.578,0.622,0.323,-0.149,0.0,-0.204,0.767,0.627,0.7
MARA,-0.231,0.125,-0.59,0.077,0.872,-0.204,0.0,-0.241,-0.314,-0.068
NVDA,0.567,0.756,0.787,0.614,-0.037,0.767,-0.241,0.0,0.812,0.741
PLUG,0.505,0.559,0.676,0.522,-0.203,0.627,-0.314,0.812,0.0,0.598
TSLA,0.28,0.843,0.439,0.738,0.189,0.7,-0.068,0.741,0.598,0.0
