,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.026,0.293,-0.297,-0.067,0.719,0.885,0.638,0.68,0.441
AAPL,0.026,0.0,0.574,-0.593,-0.519,0.43,0.231,0.224,0.39,0.112
AMD,0.293,0.574,0.0,-0.757,-0.719,0.786,0.338,0.314,0.57,-0.151
AMZN,-0.297,-0.593,-0.757,0.0,0.788,-0.749,-0.337,-0.306,-0.53,0.147
GOOGL,-0.067,-0.519,-0.719,0.788,0.0,-0.567,-0.17,-0.171,-0.513,0.316
INTC,0.719,0.43,0.786,-0.749,-0.567,0.0,0.704,0.472,0.727,0.036
MARA,0.885,0.231,0.338,-0.337,-0.17,0.704,0.0,0.688,0.783,0.409
NVDA,0.638,0.224,0.314,-0.306,-0.171,0.472,0.688,0.0,0.55,0.338
PLUG,0.68,0.39,0.57,-0.53,-0.513,0.727,0.783,0.55,0.0,0.191
TSLA,0.441,0.112,-0.151,0.147,0.316,0.036,0.409,0.338,0.191,0.0
