,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.44,0.33,0.374,0.635,0.704,-0.057,0.289,-0.051,0.378
AAPL,0.44,0.0,0.022,-0.028,0.738,0.503,-0.485,-0.154,-0.458,-0.008
AMD,0.33,0.022,0.0,0.419,0.298,0.236,0.439,0.718,0.234,0.867
AMZN,0.374,-0.028,0.419,0.0,0.536,0.367,0.761,0.852,0.8,0.59
GOOGL,0.635,0.738,0.298,0.536,0.0,0.675,0.065,0.431,0.097,0.426
INTC,0.704,0.503,0.236,0.367,0.675,0.0,-0.106,0.246,-0.071,0.261
MARA,-0.057,-0.485,0.439,0.761,0.065,-0.106,0.0,0.838,0.949,0.646
NVDA,0.289,-0.154,0.718,0.852,0.431,0.246,0.838,0.0,0.774,0.83
PLUG,-0.051,-0.458,0.234,0.8,0.097,-0.071,0.949,0.774,0.0,0.485
TSLA,0.378,-0.008,0.867,0.59,0.426,0.261,0.646,0.83,0.485,0.0
