,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.891,0.895,0.823,0.434,0.826,0.328,0.897,-0.418,0.822
AAPL,0.891,0.0,0.962,0.86,0.495,0.845,0.263,0.969,-0.669,0.721
AMD,0.895,0.962,0.0,0.911,0.434,0.897,0.298,0.956,-0.593,0.697
AMZN,0.823,0.86,0.911,0.0,0.207,0.972,0.323,0.842,-0.539,0.528
GOOGL,0.434,0.495,0.434,0.207,0.0,0.216,-0.187,0.432,-0.146,0.573
INTC,0.826,0.845,0.897,0.972,0.216,0.0,0.253,0.806,-0.504,0.558
MARA,0.328,0.263,0.298,0.323,-0.187,0.253,0.0,0.415,-0.23,0.267
NVDA,0.897,0.969,0.956,0.842,0.432,0.806,0.415,0.0,-0.671,0.731
PLUG,-0.418,-0.669,-0.593,-0.539,-0.146,-0.504,-0.23,-0.671,0.0,-0.281
TSLA,0.822,0.721,0.697,0.528,0.573,0.558,0.267,0.731,-0.281,0.0
