,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.696,0.704,0.064,0.62,0.491,-0.659,0.805,0.529,0.9
AAPL,0.696,0.0,0.942,0.386,0.867,0.608,-0.601,0.902,0.795,0.855
AMD,0.704,0.942,0.0,0.424,0.821,0.674,-0.587,0.877,0.694,0.817
AMZN,0.064,0.386,0.424,0.0,0.189,0.813,-0.146,0.232,0.269,0.123
GOOGL,0.62,0.867,0.821,0.189,0.0,0.395,-0.555,0.754,0.71,0.76
INTC,0.491,0.608,0.674,0.813,0.395,0.0,-0.577,0.494,0.424,0.5
MARA,-0.659,-0.601,-0.587,-0.146,-0.555,-0.577,0.0,-0.478,-0.461,-0.626
NVDA,0.805,0.902,0.877,0.232,0.754,0.494,-0.478,0.0,0.731,0.9
PLUG,0.529,0.795,0.694,0.269,0.71,0.424,-0.461,0.731,0.0,0.787
TSLA,0.9,0.855,0.817,0.123,0.76,0.5,-0.626,0.9,0.787,0.0
