,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.68,0.429,-0.402,-0.351,-0.533,0.802,0.862,0.326,-0.669
AAPL,0.68,0.0,0.527,-0.178,0.148,-0.259,0.781,0.773,0.556,-0.278
AMD,0.429,0.527,0.0,0.367,0.366,0.301,0.611,0.714,0.465,-0.039
AMZN,-0.402,-0.178,0.367,0.0,0.79,0.839,-0.223,-0.119,0.204,0.778
GOOGL,-0.351,0.148,0.366,0.79,0.0,0.731,0.032,-0.026,0.395,0.763
INTC,-0.533,-0.259,0.301,0.839,0.731,0.0,-0.268,-0.33,-0.042,0.746
MARA,0.802,0.781,0.611,-0.223,0.032,-0.268,0.0,0.87,0.589,-0.387
NVDA,0.862,0.773,0.714,-0.119,-0.026,-0.33,0.87,0.0,0.567,-0.462
PLUG,0.326,0.556,0.465,0.204,0.395,-0.042,0.589,0.567,0.0,0.13
TSLA,-0.669,-0.278,-0.039,0.778,0.763,0.746,-0.387,-0.462,0.13,0.0
