,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.656,-0.857,-0.71,-0.749,-0.885,-0.792,-0.753,0.932,-0.051
AAPL,-0.656,0.0,0.888,0.898,0.933,0.748,0.786,0.937,-0.674,0.495
AMD,-0.857,0.888,0.0,0.919,0.955,0.882,0.872,0.959,-0.842,0.309
AMZN,-0.71,0.898,0.919,0.0,0.932,0.819,0.894,0.922,-0.689,0.522
GOOGL,-0.749,0.933,0.955,0.932,0.0,0.777,0.869,0.977,-0.738,0.526
INTC,-0.885,0.748,0.882,0.819,0.777,0.0,0.794,0.827,-0.892,0.141
MARA,-0.792,0.786,0.872,0.894,0.869,0.794,0.0,0.842,-0.714,0.419
NVDA,-0.753,0.937,0.959,0.922,0.977,0.827,0.842,0.0,-0.772,0.505
PLUG,0.932,-0.674,-0.842,-0.689,-0.738,-0.892,-0.714,-0.772,0.0,-0.053
TSLA,-0.051,0.495,0.309,0.522,0.526,0.141,0.419,0.505,-0.053,0.0
