,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.57,-0.104,0.432,0.044,0.188,0.389,-0.052,0.424,0.472
AAPL,0.57,0.0,-0.292,0.576,-0.085,0.207,0.227,-0.445,0.558,0.801
AMD,-0.104,-0.292,0.0,0.364,0.588,0.234,-0.186,0.841,-0.648,-0.559
AMZN,0.432,0.576,0.364,0.0,0.612,0.199,-0.028,0.354,-0.105,0.125
GOOGL,0.044,-0.085,0.588,0.612,0.0,0.317,0.142,0.594,-0.405,-0.345
INTC,0.188,0.207,0.234,0.199,0.317,0.0,0.736,-0.154,0.482,0.41
MARA,0.389,0.227,-0.186,-0.028,0.142,0.736,0.0,-0.417,0.679,0.569
NVDA,-0.052,-0.445,0.841,0.354,0.594,-0.154,-0.417,0.0,-0.833,-0.8
PLUG,0.424,0.558,-0.648,-0.105,-0.405,0.482,0.679,-0.833,0.0,0.903
TSLA,0.472,0.801,-0.559,0.125,-0.345,0.41,0.569,-0.8,0.903,0.0
