,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.906,0.581,0.785,0.054,0.924,0.296,0.72,0.913,0.946
AAPL,0.906,0.0,0.634,0.914,0.218,0.875,0.387,0.83,0.768,0.929
AMD,0.581,0.634,0.0,0.711,0.22,0.374,0.049,0.813,0.487,0.612
AMZN,0.785,0.914,0.711,0.0,0.357,0.724,0.33,0.8,0.671,0.861
GOOGL,0.054,0.218,0.22,0.357,0.0,0.033,0.021,0.274,-0.024,0.066
INTC,0.924,0.875,0.374,0.724,0.033,0.0,0.447,0.643,0.863,0.884
MARA,0.296,0.387,0.049,0.33,0.021,0.447,0.0,0.324,0.282,0.4
NVDA,0.72,0.83,0.813,0.8,0.274,0.643,0.324,0.0,0.572,0.742
PLUG,0.913,0.768,0.487,0.671,-0.024,0.863,0.282,0.572,0.0,0.879
TSLA,0.946,0.929,0.612,0.861,0.066,0.884,0.4,0.742,0.879,0.0
