,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.669,-0.518,-0.582,0.232,0.457,0.327,0.217,-0.662,-0.746
AAPL,-0.669,0.0,0.585,0.478,-0.417,-0.673,-0.545,-0.409,0.882,0.883
AMD,-0.518,0.585,0.0,0.328,0.212,0.069,0.257,0.432,0.507,0.487
AMZN,-0.582,0.478,0.328,0.0,0.142,-0.184,-0.177,-0.108,0.549,0.755
GOOGL,0.232,-0.417,0.212,0.142,0.0,0.851,0.779,0.828,-0.292,-0.274
INTC,0.457,-0.673,0.069,-0.184,0.851,0.0,0.907,0.896,-0.598,-0.594
MARA,0.327,-0.545,0.257,-0.177,0.779,0.907,0.0,0.944,-0.511,-0.492
NVDA,0.217,-0.409,0.432,-0.108,0.828,0.896,0.944,0.0,-0.389,-0.396
PLUG,-0.662,0.882,0.507,0.549,-0.292,-0.598,-0.511,-0.389,0.0,0.9
TSLA,-0.746,0.883,0.487,0.755,-0.274,-0.594,-0.492,-0.396,0.9,0.0
