,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.765,0.815,0.929,0.677,0.801,0.92,0.801,0.95,0.596
AAPL,0.765,0.0,0.954,0.88,0.919,0.526,0.914,0.987,0.768,0.944
AMD,0.815,0.954,0.0,0.917,0.876,0.672,0.938,0.965,0.855,0.866
AMZN,0.929,0.88,0.917,0.0,0.829,0.699,0.936,0.892,0.916,0.765
GOOGL,0.677,0.919,0.876,0.829,0.0,0.452,0.858,0.913,0.699,0.842
INTC,0.801,0.526,0.672,0.699,0.452,0.0,0.722,0.574,0.856,0.301
MARA,0.92,0.914,0.938,0.936,0.858,0.722,0.0,0.943,0.908,0.776
NVDA,0.801,0.987,0.965,0.892,0.913,0.574,0.943,0.0,0.793,0.922
PLUG,0.95,0.768,0.855,0.916,0.699,0.856,0.908,0.793,0.0,0.572
TSLA,0.596,0.944,0.866,0.765,0.842,0.301,0.776,0.922,0.572,0.0
