,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.796,0.693,0.53,0.45,0.934,0.907,0.666,0.746,0.632
AAPL,0.796,0.0,0.896,0.863,0.769,0.855,0.557,0.931,0.937,0.806
AMD,0.693,0.896,0.0,0.927,0.875,0.777,0.442,0.969,0.925,0.817
AMZN,0.53,0.863,0.927,0.0,0.897,0.657,0.225,0.947,0.91,0.774
GOOGL,0.45,0.769,0.875,0.897,0.0,0.508,0.212,0.876,0.826,0.81
INTC,0.934,0.855,0.777,0.657,0.508,0.0,0.814,0.749,0.783,0.635
MARA,0.907,0.557,0.442,0.225,0.212,0.814,0.0,0.395,0.501,0.406
NVDA,0.666,0.931,0.969,0.947,0.876,0.749,0.395,0.0,0.953,0.874
PLUG,0.746,0.937,0.925,0.91,0.826,0.783,0.501,0.953,0.0,0.804
TSLA,0.632,0.806,0.817,0.774,0.81,0.635,0.406,0.874,0.804,0.0
