,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.722,0.804,0.659,0.763,0.825,0.72,-0.264,0.474,0.721
AAPL,0.722,0.0,0.811,0.763,0.788,0.941,0.84,-0.2,0.652,0.527
AMD,0.804,0.811,0.0,0.894,0.882,0.921,0.768,-0.198,0.728,0.785
AMZN,0.659,0.763,0.894,0.0,0.767,0.839,0.692,-0.098,0.834,0.639
GOOGL,0.763,0.788,0.882,0.767,0.0,0.863,0.751,-0.112,0.673,0.783
INTC,0.825,0.941,0.921,0.839,0.863,0.0,0.853,-0.213,0.688,0.686
MARA,0.72,0.84,0.768,0.692,0.751,0.853,0.0,-0.565,0.695,0.704
NVDA,-0.264,-0.2,-0.198,-0.098,-0.112,-0.213,-0.565,0.0,-0.252,-0.257
PLUG,0.474,0.652,0.728,0.834,0.673,0.688,0.695,-0.252,0.0,0.465
TSLA,0.721,0.527,0.785,0.639,0.783,0.686,0.704,-0.257,0.465,0.0
