,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.685,-0.08,-0.557,-0.545,0.612,0.833,-0.653,0.898,-0.536
AAPL,-0.685,0.0,0.576,0.97,0.936,-0.221,-0.361,0.949,-0.806,0.864
AMD,-0.08,0.576,0.0,0.627,0.734,0.02,0.034,0.53,-0.187,0.519
AMZN,-0.557,0.97,0.627,0.0,0.955,-0.078,-0.195,0.929,-0.722,0.846
GOOGL,-0.545,0.936,0.734,0.955,0.0,-0.139,-0.235,0.878,-0.683,0.831
INTC,0.612,-0.221,0.02,-0.078,-0.139,0.0,0.76,-0.223,0.407,-0.286
MARA,0.833,-0.361,0.034,-0.195,-0.235,0.76,0.0,-0.347,0.704,-0.231
NVDA,-0.653,0.949,0.53,0.929,0.878,-0.223,-0.347,0.0,-0.807,0.909
PLUG,0.898,-0.806,-0.187,-0.722,-0.683,0.407,0.704,-0.807,0.0,-0.615
TSLA,-0.536,0.864,0.519,0.846,0.831,-0.286,-0.231,0.909,-0.615,0.0
