,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.8,0.204,-0.773,-0.424,0.772,-0.109,-0.712,-0.863,-0.642
AAPL,-0.8,0.0,0.258,0.953,0.817,-0.367,0.124,0.937,0.842,0.884
AMD,0.204,0.258,0.0,0.344,0.65,0.534,0.1,0.467,-0.121,0.391
AMZN,-0.773,0.953,0.344,0.0,0.865,-0.378,0.013,0.973,0.836,0.957
GOOGL,-0.424,0.817,0.65,0.865,0.0,0.039,0.117,0.876,0.573,0.877
INTC,0.772,-0.367,0.534,-0.378,0.039,0.0,0.069,-0.3,-0.543,-0.25
MARA,-0.109,0.124,0.1,0.013,0.117,0.069,0.0,0.076,-0.034,-0.108
NVDA,-0.712,0.937,0.467,0.973,0.876,-0.3,0.076,0.0,0.746,0.928
PLUG,-0.863,0.842,-0.121,0.836,0.573,-0.543,-0.034,0.746,0.0,0.771
TSLA,-0.642,0.884,0.391,0.957,0.877,-0.25,-0.108,0.928,0.771,0.0
