,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.348,0.866,0.8,0.647,0.22,0.883,0.842,0.597,0.385
AAPL,0.348,0.0,0.466,0.268,0.476,-0.337,0.436,0.526,0.475,0.632
AMD,0.866,0.466,0.0,0.681,0.668,-0.129,0.95,0.959,0.795,0.541
AMZN,0.8,0.268,0.681,0.0,0.541,0.376,0.678,0.62,0.283,0.005
GOOGL,0.647,0.476,0.668,0.541,0.0,-0.062,0.678,0.78,0.734,0.644
INTC,0.22,-0.337,-0.129,0.376,-0.062,0.0,0.036,-0.22,-0.325,-0.571
MARA,0.883,0.436,0.95,0.678,0.678,0.036,0.0,0.906,0.787,0.486
NVDA,0.842,0.526,0.959,0.62,0.78,-0.22,0.906,0.0,0.864,0.698
PLUG,0.597,0.475,0.795,0.283,0.734,-0.325,0.787,0.864,0.0,0.779
TSLA,0.385,0.632,0.541,0.005,0.644,-0.571,0.486,0.698,0.779,0.0
