,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.409,-0.081,-0.505,-0.314,-0.403,-0.123,-0.29,0.604,-0.071
AAPL,-0.409,0.0,0.677,0.73,0.816,0.123,0.792,0.753,0.14,0.18
AMD,-0.081,0.677,0.0,0.194,0.829,0.075,0.85,0.811,0.422,-0.351
AMZN,-0.505,0.73,0.194,0.0,0.58,0.405,0.418,0.489,-0.201,0.65
GOOGL,-0.314,0.816,0.829,0.58,0.0,0.406,0.77,0.839,0.087,0.043
INTC,-0.403,0.123,0.075,0.405,0.406,0.0,-0.027,0.434,-0.523,0.288
MARA,-0.123,0.792,0.85,0.418,0.77,-0.027,0.0,0.731,0.484,-0.128
NVDA,-0.29,0.753,0.811,0.489,0.839,0.434,0.731,0.0,0.126,-0.03
PLUG,0.604,0.14,0.422,-0.201,0.087,-0.523,0.484,0.126,0.0,-0.136
TSLA,-0.071,0.18,-0.351,0.65,0.043,0.288,-0.128,-0.03,-0.136,0.0
