,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.477,0.297,0.506,0.238,0.47,0.254,0.401,0.325,0.492
AAPL,0.477,0.0,0.947,0.939,0.92,-0.296,0.891,0.958,0.92,0.846
AMD,0.297,0.947,0.0,0.935,0.96,-0.461,0.941,0.973,0.927,0.729
AMZN,0.506,0.939,0.935,0.0,0.926,-0.311,0.92,0.964,0.921,0.715
GOOGL,0.238,0.92,0.96,0.926,0.0,-0.523,0.965,0.952,0.937,0.662
INTC,0.47,-0.296,-0.461,-0.311,-0.523,0.0,-0.521,-0.434,-0.547,-0.046
MARA,0.254,0.891,0.941,0.92,0.965,-0.521,0.0,0.943,0.953,0.644
NVDA,0.401,0.958,0.973,0.964,0.952,-0.434,0.943,0.0,0.965,0.739
PLUG,0.325,0.92,0.927,0.921,0.937,-0.547,0.953,0.965,0.0,0.697
TSLA,0.492,0.846,0.729,0.715,0.662,-0.046,0.644,0.739,0.697,0.0
