,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.806,0.806,0.732,0.814,0.747,0.523,0.73,-0.563,0.84
AAPL,0.806,0.0,0.94,0.85,0.934,0.855,0.585,0.878,-0.889,0.766
AMD,0.806,0.94,0.0,0.925,0.904,0.856,0.697,0.804,-0.861,0.792
AMZN,0.732,0.85,0.925,0.0,0.84,0.777,0.671,0.678,-0.751,0.757
GOOGL,0.814,0.934,0.904,0.84,0.0,0.854,0.593,0.8,-0.798,0.8
INTC,0.747,0.855,0.856,0.777,0.854,0.0,0.816,0.599,-0.705,0.822
MARA,0.523,0.585,0.697,0.671,0.593,0.816,0.0,0.243,-0.506,0.719
NVDA,0.73,0.878,0.804,0.678,0.8,0.599,0.243,0.0,-0.8,0.586
PLUG,-0.563,-0.889,-0.861,-0.751,-0.798,-0.705,-0.506,-0.8,0.0,-0.584
TSLA,0.84,0.766,0.792,0.757,0.8,0.822,0.719,0.586,-0.584,0.0
