,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.617,0.222,-0.38,0.659,0.264,-0.774,0.089,-0.696,-0.693
AAPL,-0.617,0.0,-0.122,0.83,-0.168,-0.38,0.628,-0.086,0.611,0.388
AMD,0.222,-0.122,0.0,0.097,0.036,0.267,-0.128,0.794,-0.179,-0.101
AMZN,-0.38,0.83,0.097,0.0,-0.035,-0.227,0.349,0.076,0.283,0.215
GOOGL,0.659,-0.168,0.036,-0.035,0.0,0.378,-0.418,-0.016,-0.352,-0.334
INTC,0.264,-0.38,0.267,-0.227,0.378,0.0,-0.082,0.172,-0.182,0.271
MARA,-0.774,0.628,-0.128,0.349,-0.418,-0.082,0.0,-0.098,0.937,0.802
NVDA,0.089,-0.086,0.794,0.076,-0.016,0.172,-0.098,0.0,-0.132,-0.032
PLUG,-0.696,0.611,-0.179,0.283,-0.352,-0.182,0.937,-0.132,0.0,0.725
TSLA,-0.693,0.388,-0.101,0.215,-0.334,0.271,0.802,-0.032,0.725,0.0
