,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.118,-0.022,0.47,-0.088,-0.136,-0.482,-0.295,-0.349,-0.542
AAPL,0.118,0.0,-0.305,0.693,0.536,-0.303,-0.21,-0.336,-0.24,-0.308
AMD,-0.022,-0.305,0.0,-0.124,0.27,-0.1,0.066,0.657,0.005,0.053
AMZN,0.47,0.693,-0.124,0.0,0.293,-0.528,-0.682,-0.419,-0.673,-0.673
GOOGL,-0.088,0.536,0.27,0.293,0.0,0.091,0.294,0.144,0.145,0.25
INTC,-0.136,-0.303,-0.1,-0.528,0.091,0.0,0.751,0.381,0.843,0.826
MARA,-0.482,-0.21,0.066,-0.682,0.294,0.751,0.0,0.471,0.918,0.925
NVDA,-0.295,-0.336,0.657,-0.419,0.144,0.381,0.471,0.0,0.526,0.463
PLUG,-0.349,-0.24,0.005,-0.673,0.145,0.843,0.918,0.526,0.0,0.872
TSLA,-0.542,-0.308,0.053,-0.673,0.25,0.826,0.925,0.463,0.872,0.0
