,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.377,-0.547,0.6,0.708,0.357,0.343,0.492,-0.171,0.78
AAPL,-0.377,0.0,0.804,-0.635,-0.509,-0.317,0.525,-0.011,-0.004,-0.476
AMD,-0.547,0.804,0.0,-0.592,-0.535,-0.175,0.344,-0.073,-0.084,-0.422
AMZN,0.6,-0.635,-0.592,0.0,0.843,0.856,0.116,0.595,-0.135,0.772
GOOGL,0.708,-0.509,-0.535,0.843,0.0,0.667,0.175,0.435,-0.337,0.796
INTC,0.357,-0.317,-0.175,0.856,0.667,0.0,0.322,0.707,-0.243,0.699
MARA,0.343,0.525,0.344,0.116,0.175,0.322,0.0,0.618,-0.289,0.288
NVDA,0.492,-0.011,-0.073,0.595,0.435,0.707,0.618,0.0,-0.003,0.629
PLUG,-0.171,-0.004,-0.084,-0.135,-0.337,-0.243,-0.289,-0.003,0.0,-0.24
TSLA,0.78,-0.476,-0.422,0.772,0.796,0.699,0.288,0.629,-0.24,0.0
