,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.677,-0.42,-0.751,-0.659,-0.232,-0.49,-0.687,0.548,0.768
AAPL,-0.677,0.0,0.819,0.914,0.859,0.222,0.882,0.857,-0.114,-0.422
AMD,-0.42,0.819,0.0,0.784,0.809,0.342,0.874,0.828,0.236,-0.187
AMZN,-0.751,0.914,0.784,0.0,0.942,0.378,0.814,0.937,-0.146,-0.556
GOOGL,-0.659,0.859,0.809,0.942,0.0,0.43,0.854,0.94,-0.048,-0.549
INTC,-0.232,0.222,0.342,0.378,0.43,0.0,0.224,0.432,-0.253,0.005
MARA,-0.49,0.882,0.874,0.814,0.854,0.224,0.0,0.832,0.09,-0.343
NVDA,-0.687,0.857,0.828,0.937,0.94,0.432,0.832,0.0,-0.025,-0.578
PLUG,0.548,-0.114,0.236,-0.146,-0.048,-0.253,0.09,-0.025,0.0,0.308
TSLA,0.768,-0.422,-0.187,-0.556,-0.549,0.005,-0.343,-0.578,0.308,0.0
