,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.874,0.838,0.682,0.749,-0.043,-0.097,0.898,-0.548,0.838
AAPL,0.874,0.0,0.812,0.678,0.741,-0.007,-0.12,0.825,-0.54,0.843
AMD,0.838,0.812,0.0,0.894,0.927,-0.303,-0.181,0.913,-0.693,0.844
AMZN,0.682,0.678,0.894,0.0,0.943,-0.418,-0.123,0.796,-0.728,0.725
GOOGL,0.749,0.741,0.927,0.943,0.0,-0.395,-0.3,0.854,-0.757,0.796
INTC,-0.043,-0.007,-0.303,-0.418,-0.395,0.0,0.457,-0.094,0.576,-0.052
MARA,-0.097,-0.12,-0.181,-0.123,-0.3,0.457,0.0,-0.11,0.339,-0.129
NVDA,0.898,0.825,0.913,0.796,0.854,-0.094,-0.11,0.0,-0.514,0.862
PLUG,-0.548,-0.54,-0.693,-0.728,-0.757,0.576,0.339,-0.514,0.0,-0.429
TSLA,0.838,0.843,0.844,0.725,0.796,-0.052,-0.129,0.862,-0.429,0.0
