,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.38,-0.072,0.38,0.225,0.34,0.734,0.467,0.311,0.519
AAPL,-0.38,0.0,0.009,-0.412,-0.079,-0.052,-0.114,-0.182,-0.08,0.061
AMD,-0.072,0.009,0.0,-0.601,-0.887,0.754,0.299,-0.058,0.798,0.307
AMZN,0.38,-0.412,-0.601,0.0,0.743,-0.415,0.062,0.325,-0.41,-0.103
GOOGL,0.225,-0.079,-0.887,0.743,0.0,-0.621,-0.184,0.163,-0.759,-0.222
INTC,0.34,-0.052,0.754,-0.415,-0.621,0.0,0.469,0.019,0.688,0.416
MARA,0.734,-0.114,0.299,0.062,-0.184,0.469,0.0,0.337,0.698,0.646
NVDA,0.467,-0.182,-0.058,0.325,0.163,0.019,0.337,0.0,0.097,0.347
PLUG,0.311,-0.08,0.798,-0.41,-0.759,0.688,0.698,0.097,0.0,0.491
TSLA,0.519,0.061,0.307,-0.103,-0.222,0.416,0.646,0.347,0.491,0.0
