,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.376,-0.585,0.162,-0.497,-0.401,0.57,-0.671,0.318,0.053
AAPL,-0.376,0.0,0.618,0.678,0.816,0.6,0.063,0.618,0.122,0.711
AMD,-0.585,0.618,0.0,0.158,0.902,0.829,-0.32,0.951,-0.253,0.585
AMZN,0.162,0.678,0.158,0.0,0.449,0.359,0.642,0.117,0.64,0.595
GOOGL,-0.497,0.816,0.902,0.449,0.0,0.886,-0.169,0.878,-0.118,0.747
INTC,-0.401,0.6,0.829,0.359,0.886,0.0,-0.174,0.821,-0.156,0.675
MARA,0.57,0.063,-0.32,0.642,-0.169,-0.174,0.0,-0.429,0.723,0.145
NVDA,-0.671,0.618,0.951,0.117,0.878,0.821,-0.429,0.0,-0.314,0.483
PLUG,0.318,0.122,-0.253,0.64,-0.118,-0.156,0.723,-0.314,0.0,0.044
TSLA,0.053,0.711,0.585,0.595,0.747,0.675,0.145,0.483,0.044,0.0
