,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.312,0.529,0.093,0.176,0.419,0.496,0.349,0.135,0.452
AAPL,0.312,0.0,0.773,0.886,0.86,0.769,0.64,0.914,-0.111,0.566
AMD,0.529,0.773,0.0,0.597,0.606,0.557,0.536,0.687,0.43,0.854
AMZN,0.093,0.886,0.597,0.0,0.939,0.738,0.692,0.922,-0.272,0.477
GOOGL,0.176,0.86,0.606,0.939,0.0,0.665,0.782,0.919,-0.257,0.466
INTC,0.419,0.769,0.557,0.738,0.665,0.0,0.644,0.801,-0.255,0.391
MARA,0.496,0.64,0.536,0.692,0.782,0.644,0.0,0.837,-0.139,0.533
NVDA,0.349,0.914,0.687,0.922,0.919,0.801,0.837,0.0,-0.235,0.543
PLUG,0.135,-0.111,0.43,-0.272,-0.257,-0.255,-0.139,-0.235,0.0,0.591
TSLA,0.452,0.566,0.854,0.477,0.466,0.391,0.533,0.543,0.591,0.0
