,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.616,0.559,0.401,-0.423,0.88,0.401,0.496,0.231,0.553
AAPL,0.616,0.0,0.896,0.927,-0.176,0.743,0.149,0.914,0.65,0.882
AMD,0.559,0.896,0.0,0.863,0.008,0.64,0.129,0.941,0.68,0.819
AMZN,0.401,0.927,0.863,0.0,-0.138,0.561,0.032,0.863,0.628,0.791
GOOGL,-0.423,-0.176,0.008,-0.138,0.0,-0.493,0.026,0.156,0.303,-0.156
INTC,0.88,0.743,0.64,0.561,-0.493,0.0,0.159,0.612,0.37,0.75
MARA,0.401,0.149,0.129,0.032,0.026,0.159,0.0,0.122,-0.247,0.023
NVDA,0.496,0.914,0.941,0.863,0.156,0.612,0.122,0.0,0.809,0.848
PLUG,0.231,0.65,0.68,0.628,0.303,0.37,-0.247,0.809,0.0,0.686
TSLA,0.553,0.882,0.819,0.791,-0.156,0.75,0.023,0.848,0.686,0.0
