,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.524,-0.116,0.567,0.243,0.243,0.664,0.355,0.264,0.493
AAPL,-0.524,0.0,-0.214,-0.211,0.179,-0.349,-0.302,-0.154,-0.298,-0.12
AMD,-0.116,-0.214,0.0,-0.633,-0.912,0.721,0.358,-0.298,0.81,0.372
AMZN,0.567,-0.211,-0.633,0.0,0.724,-0.209,0.069,0.55,-0.394,-0.092
GOOGL,0.243,0.179,-0.912,0.724,0.0,-0.538,-0.321,0.425,-0.756,-0.314
INTC,0.243,-0.349,0.721,-0.209,-0.538,0.0,0.413,-0.189,0.659,0.383
MARA,0.664,-0.302,0.358,0.069,-0.321,0.413,0.0,0.019,0.691,0.702
NVDA,0.355,-0.154,-0.298,0.55,0.425,-0.189,0.019,0.0,-0.104,0.091
PLUG,0.264,-0.298,0.81,-0.394,-0.756,0.659,0.691,-0.104,0.0,0.487
TSLA,0.493,-0.12,0.372,-0.092,-0.314,0.383,0.702,0.091,0.487,0.0
