,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.136,0.242,-0.133,0.134,-0.21,0.142,-0.0,0.525,-0.106
AAPL,-0.136,0.0,0.545,0.561,0.695,-0.027,0.735,0.649,0.403,0.353
AMD,0.242,0.545,0.0,-0.044,0.649,-0.096,0.776,0.645,0.674,-0.281
AMZN,-0.133,0.561,-0.044,0.0,0.621,0.422,0.285,0.55,0.024,0.896
GOOGL,0.134,0.695,0.649,0.621,0.0,0.402,0.661,0.838,0.377,0.423
INTC,-0.21,-0.027,-0.096,0.422,0.402,0.0,-0.172,0.398,-0.428,0.459
MARA,0.142,0.735,0.776,0.285,0.661,-0.172,0.0,0.615,0.722,0.015
NVDA,-0.0,0.649,0.645,0.55,0.838,0.398,0.615,0.0,0.313,0.317
PLUG,0.525,0.403,0.674,0.024,0.377,-0.428,0.722,0.313,0.0,-0.138
TSLA,-0.106,0.353,-0.281,0.896,0.423,0.459,0.015,0.317,-0.138,0.0
