,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.025,-0.656,0.489,0.687,-0.536,0.532,0.508,0.244,0.608
AAPL,-0.025,0.0,0.451,-0.568,-0.292,-0.118,0.732,0.432,-0.081,-0.326
AMD,-0.656,0.451,0.0,-0.709,-0.599,0.541,-0.051,-0.184,-0.372,-0.26
AMZN,0.489,-0.568,-0.709,0.0,0.662,0.078,-0.172,0.102,0.411,0.344
GOOGL,0.687,-0.292,-0.599,0.662,0.0,-0.259,0.107,0.055,0.042,0.526
INTC,-0.536,-0.118,0.541,0.078,-0.259,0.0,-0.46,-0.24,-0.002,-0.084
MARA,0.532,0.732,-0.051,-0.172,0.107,-0.46,0.0,0.682,0.113,0.021
NVDA,0.508,0.432,-0.184,0.102,0.055,-0.24,0.682,0.0,0.501,0.158
PLUG,0.244,-0.081,-0.372,0.411,0.042,-0.002,0.113,0.501,0.0,0.063
TSLA,0.608,-0.326,-0.26,0.344,0.526,-0.084,0.021,0.158,0.063,0.0
