,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.726,-0.585,-0.8,0.031,0.41,0.13,-0.025,-0.758,-0.783
AAPL,-0.726,0.0,0.654,0.738,-0.17,-0.571,-0.335,-0.142,0.956,0.916
AMD,-0.585,0.654,0.0,0.503,0.376,0.122,0.419,0.599,0.586,0.565
AMZN,-0.8,0.738,0.503,0.0,0.108,-0.347,-0.165,-0.014,0.715,0.871
GOOGL,0.031,-0.17,0.376,0.108,0.0,0.769,0.726,0.79,-0.19,-0.11
INTC,0.41,-0.571,0.122,-0.347,0.769,0.0,0.855,0.813,-0.623,-0.555
MARA,0.13,-0.335,0.419,-0.165,0.726,0.855,0.0,0.926,-0.405,-0.346
NVDA,-0.025,-0.142,0.599,-0.014,0.79,0.813,0.926,0.0,-0.217,-0.191
PLUG,-0.758,0.956,0.586,0.715,-0.19,-0.623,-0.405,-0.217,0.0,0.93
TSLA,-0.783,0.916,0.565,0.871,-0.11,-0.555,-0.346,-0.191,0.93,0.0
