,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.516,-0.443,-0.409,-0.707,-0.476,0.303,-0.211,0.019,0.197
AAPL,-0.516,0.0,0.682,0.774,0.795,0.602,-0.14,0.645,-0.0,0.459
AMD,-0.443,0.682,0.0,0.403,0.88,0.925,-0.265,0.89,-0.174,0.563
AMZN,-0.409,0.774,0.403,0.0,0.547,0.362,0.264,0.374,0.413,0.194
GOOGL,-0.707,0.795,0.88,0.547,0.0,0.861,-0.34,0.701,-0.176,0.39
INTC,-0.476,0.602,0.925,0.362,0.861,0.0,-0.421,0.851,-0.286,0.51
MARA,0.303,-0.14,-0.265,0.264,-0.34,-0.421,0.0,-0.281,0.575,-0.113
NVDA,-0.211,0.645,0.89,0.374,0.701,0.851,-0.281,0.0,-0.166,0.692
PLUG,0.019,-0.0,-0.174,0.413,-0.176,-0.286,0.575,-0.166,0.0,-0.115
TSLA,0.197,0.459,0.563,0.194,0.39,0.51,-0.113,0.692,-0.115,0.0
