,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.506,0.586,0.677,0.623,0.461,0.054,0.547,0.404,0.644
AAPL,0.506,0.0,0.888,0.691,0.822,0.818,0.295,0.817,0.814,0.83
AMD,0.586,0.888,0.0,0.882,0.934,0.783,-0.015,0.944,0.689,0.829
AMZN,0.677,0.691,0.882,0.0,0.877,0.508,-0.306,0.867,0.444,0.724
GOOGL,0.623,0.822,0.934,0.877,0.0,0.745,0.004,0.932,0.544,0.893
INTC,0.461,0.818,0.783,0.508,0.745,0.0,0.436,0.735,0.771,0.817
MARA,0.054,0.295,-0.015,-0.306,0.004,0.436,0.0,-0.079,0.503,0.233
NVDA,0.547,0.817,0.944,0.867,0.932,0.735,-0.079,0.0,0.522,0.854
PLUG,0.404,0.814,0.689,0.444,0.544,0.771,0.503,0.522,0.0,0.578
TSLA,0.644,0.83,0.829,0.724,0.893,0.817,0.233,0.854,0.578,0.0
