,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.354,0.593,0.202,0.373,0.544,0.722,0.508,0.487,0.495
AAPL,0.354,0.0,0.598,0.461,0.626,0.626,0.263,0.424,0.44,0.793
AMD,0.593,0.598,0.0,0.282,0.851,0.839,0.485,0.896,0.704,0.821
AMZN,0.202,0.461,0.282,0.0,0.368,0.522,0.488,0.323,0.153,0.499
GOOGL,0.373,0.626,0.851,0.368,0.0,0.833,0.197,0.68,0.728,0.788
INTC,0.544,0.626,0.839,0.522,0.833,0.0,0.516,0.67,0.673,0.917
MARA,0.722,0.263,0.485,0.488,0.197,0.516,0.0,0.527,0.386,0.477
NVDA,0.508,0.424,0.896,0.323,0.68,0.67,0.527,0.0,0.579,0.642
PLUG,0.487,0.44,0.704,0.153,0.728,0.673,0.386,0.579,0.0,0.623
TSLA,0.495,0.793,0.821,0.499,0.788,0.917,0.477,0.642,0.623,0.0
