,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.441,-0.49,-0.418,-0.559,-0.171,-0.475,-0.481,-0.468,-0.217
AAPL,-0.441,0.0,0.917,0.951,0.963,0.793,0.93,0.949,0.849,0.896
AMD,-0.49,0.917,0.0,0.942,0.931,0.901,0.976,0.97,0.731,0.82
AMZN,-0.418,0.951,0.942,0.0,0.972,0.825,0.967,0.977,0.885,0.892
GOOGL,-0.559,0.963,0.931,0.972,0.0,0.759,0.957,0.976,0.89,0.882
INTC,-0.171,0.793,0.901,0.825,0.759,0.0,0.855,0.839,0.546,0.746
MARA,-0.475,0.93,0.976,0.967,0.957,0.855,0.0,0.99,0.79,0.863
NVDA,-0.481,0.949,0.97,0.977,0.976,0.839,0.99,0.0,0.824,0.886
PLUG,-0.468,0.849,0.731,0.885,0.89,0.546,0.79,0.824,0.0,0.785
TSLA,-0.217,0.896,0.82,0.892,0.882,0.746,0.863,0.886,0.785,0.0
