,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.004,-0.37,0.157,0.427,0.139,0.415,0.208,0.152,-0.366
AAPL,0.004,0.0,0.43,0.602,0.26,-0.369,-0.158,0.154,0.52,0.434
AMD,-0.37,0.43,0.0,0.096,0.187,0.188,0.266,0.559,0.177,0.144
AMZN,0.157,0.602,0.096,0.0,0.641,0.043,0.026,0.306,0.339,0.391
GOOGL,0.427,0.26,0.187,0.641,0.0,0.525,0.686,0.794,0.33,-0.052
INTC,0.139,-0.369,0.188,0.043,0.525,0.0,0.63,0.678,-0.25,-0.354
MARA,0.415,-0.158,0.266,0.026,0.686,0.63,0.0,0.858,0.014,-0.439
NVDA,0.208,0.154,0.559,0.306,0.794,0.678,0.858,0.0,0.057,-0.298
PLUG,0.152,0.52,0.177,0.339,0.33,-0.25,0.014,0.057,0.0,0.432
TSLA,-0.366,0.434,0.144,0.391,-0.052,-0.354,-0.439,-0.298,0.432,0.0
