,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.001,0.293,0.256,0.306,0.288,0.335,0.395,0.116,0.2
AAPL,0.001,0.0,0.876,0.646,0.639,-0.495,0.849,0.775,0.72,0.787
AMD,0.293,0.876,0.0,0.586,0.71,-0.539,0.93,0.948,0.841,0.91
AMZN,0.256,0.646,0.586,0.0,0.531,0.066,0.564,0.479,0.293,0.326
GOOGL,0.306,0.639,0.71,0.531,0.0,-0.277,0.717,0.799,0.732,0.757
INTC,0.288,-0.495,-0.539,0.066,-0.277,0.0,-0.342,-0.561,-0.577,-0.694
MARA,0.335,0.849,0.93,0.564,0.717,-0.342,0.0,0.878,0.839,0.86
NVDA,0.395,0.775,0.948,0.479,0.799,-0.561,0.878,0.0,0.862,0.948
PLUG,0.116,0.72,0.841,0.293,0.732,-0.577,0.839,0.862,0.0,0.927
TSLA,0.2,0.787,0.91,0.326,0.757,-0.694,0.86,0.948,0.927,0.0
