,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.191,0.015,0.791,0.185,0.491,0.8,-0.058,0.795,0.588
AAPL,0.191,0.0,0.345,0.495,0.694,0.384,0.392,0.279,0.154,0.637
AMD,0.015,0.345,0.0,0.339,0.807,0.708,0.162,0.939,-0.06,0.615
AMZN,0.791,0.495,0.339,0.0,0.561,0.782,0.901,0.276,0.799,0.824
GOOGL,0.185,0.694,0.807,0.561,0.0,0.792,0.351,0.763,0.115,0.823
INTC,0.491,0.384,0.708,0.782,0.792,0.0,0.582,0.693,0.412,0.845
MARA,0.8,0.392,0.162,0.901,0.351,0.582,0.0,0.065,0.897,0.635
NVDA,-0.058,0.279,0.939,0.276,0.763,0.693,0.065,0.0,-0.166,0.536
PLUG,0.795,0.154,-0.06,0.799,0.115,0.412,0.897,-0.166,0.0,0.464
TSLA,0.588,0.637,0.615,0.824,0.823,0.845,0.635,0.536,0.464,0.0
