,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.724,0.494,0.619,0.567,-0.278,0.006,0.301,-0.427,0.453
AAPL,0.724,0.0,0.646,0.697,0.667,-0.437,-0.16,0.456,-0.433,0.645
AMD,0.494,0.646,0.0,0.88,0.874,-0.759,-0.269,0.894,-0.305,0.892
AMZN,0.619,0.697,0.88,0.0,0.964,-0.689,-0.229,0.658,-0.532,0.816
GOOGL,0.567,0.667,0.874,0.964,0.0,-0.716,-0.344,0.66,-0.512,0.811
INTC,-0.278,-0.437,-0.759,-0.689,-0.716,0.0,0.519,-0.712,0.533,-0.554
MARA,0.006,-0.16,-0.269,-0.229,-0.344,0.519,0.0,-0.231,0.364,-0.153
NVDA,0.301,0.456,0.894,0.658,0.66,-0.712,-0.231,0.0,-0.082,0.77
PLUG,-0.427,-0.433,-0.305,-0.532,-0.512,0.533,0.364,-0.082,0.0,-0.074
TSLA,0.453,0.645,0.892,0.816,0.811,-0.554,-0.153,0.77,-0.074,0.0
