,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.859,0.794,0.375,0.49,0.189,0.95,0.928,0.665,0.009
AAPL,0.859,0.0,0.66,0.241,0.442,-0.026,0.841,0.865,0.642,-0.077
AMD,0.794,0.66,0.0,0.69,0.725,0.591,0.802,0.872,0.79,0.285
AMZN,0.375,0.241,0.69,0.0,0.9,0.859,0.366,0.441,0.647,0.816
GOOGL,0.49,0.442,0.725,0.9,0.0,0.717,0.523,0.569,0.782,0.714
INTC,0.189,-0.026,0.591,0.859,0.717,0.0,0.169,0.224,0.381,0.669
MARA,0.95,0.841,0.802,0.366,0.523,0.169,0.0,0.936,0.749,-0.001
NVDA,0.928,0.865,0.872,0.441,0.569,0.224,0.936,0.0,0.792,0.054
PLUG,0.665,0.642,0.79,0.647,0.782,0.381,0.749,0.792,0.0,0.438
TSLA,0.009,-0.077,0.285,0.816,0.714,0.669,-0.001,0.054,0.438,0.0
