,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.794,0.701,0.581,0.648,-0.285,-0.141,0.781,-0.505,0.639
AAPL,0.794,0.0,0.74,0.637,0.694,-0.323,-0.207,0.735,-0.503,0.715
AMD,0.701,0.74,0.0,0.897,0.93,-0.516,-0.237,0.919,-0.499,0.87
AMZN,0.581,0.637,0.897,0.0,0.943,-0.614,-0.194,0.805,-0.59,0.74
GOOGL,0.648,0.694,0.93,0.943,0.0,-0.591,-0.348,0.866,-0.604,0.806
INTC,-0.285,-0.323,-0.516,-0.614,-0.591,0.0,0.498,-0.351,0.676,-0.276
MARA,-0.141,-0.207,-0.237,-0.194,-0.348,0.498,0.0,-0.184,0.424,-0.145
NVDA,0.781,0.735,0.919,0.805,0.866,-0.351,-0.184,0.0,-0.347,0.867
PLUG,-0.505,-0.503,-0.499,-0.59,-0.604,0.676,0.424,-0.347,0.0,-0.204
TSLA,0.639,0.715,0.87,0.74,0.806,-0.276,-0.145,0.867,-0.204,0.0
