,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.245,-0.734,0.367,0.442,0.31,-0.05,-0.311,0.341,-0.196
AAPL,0.245,0.0,-0.063,0.742,0.585,0.048,-0.65,0.226,0.418,0.474
AMD,-0.734,-0.063,0.0,-0.337,-0.384,-0.511,0.117,0.491,-0.326,0.187
AMZN,0.367,0.742,-0.337,0.0,0.882,0.307,-0.474,0.364,0.357,0.382
GOOGL,0.442,0.585,-0.384,0.882,0.0,0.34,-0.261,0.398,0.387,0.339
INTC,0.31,0.048,-0.511,0.307,0.34,0.0,-0.14,0.165,0.6,0.155
MARA,-0.05,-0.65,0.117,-0.474,-0.261,-0.14,0.0,0.009,-0.166,-0.085
NVDA,-0.311,0.226,0.491,0.364,0.398,0.165,0.009,0.0,0.167,0.356
PLUG,0.341,0.418,-0.326,0.357,0.387,0.6,-0.166,0.167,0.0,0.465
TSLA,-0.196,0.474,0.187,0.382,0.339,0.155,-0.085,0.356,0.465,0.0
